"all","Alle"
"Unknown error","Es ist ein unbekannter Fehler aufgetreten"
"You will be redirected to the Postpay website when you place an order.","Sie werden auf die Postpay Webseite weiter geleitet, wenn sie die Bestellung aufgeben."
